
Sync-Point 0, Time: 0, Nf = 0000110000, Systemstep: 0
Sync-Point 314, Time: 0.178467, Nf = 0000000390, Systemstep: 0.00012207

Sync-Point 315, Time: 0.178589, Nf = 0000000029, Systemstep: 0.00012207

Sync-Point 316, Time: 0.178711, Nf = 0000000674, Systemstep: 0.00012207

Sync-Point 317, Time: 0.178833, Nf = 0000000033, Systemstep: 0.00012207

Sync-Point 318, Time: 0.178955, Nf = 0000000468, Systemstep: 0.00012207

Sync-Point 319, Time: 0.179077, Nf = 0000000027, Systemstep: 0.00012207

Sync-Point 320, Time: 0.179199, Nf = 0000000672, Systemstep: 0.00012207

Sync-Point 321, Time: 0.179321, Nf = 0000000035, Systemstep: 0.00012207

Sync-Point 322, Time: 0.179443, Nf = 0000000468, Systemstep: 0.00012207

Sync-Point 323, Time: 0.179565, Nf = 0000000038, Systemstep: 0.00012207

